package,dependencies,dep_count
perl-DynaLoader,perl-libs|perl-Carp|perl-vars,3
perl-Encode,glibc|perl-libs|perl-Carp|perl-interpreter|perl-vars|perl-constant|perl-Getopt-Long|perl-File-Basename|perl-overload|perl-Encode|perl-Storable|perl-MIME-Base64|perl-Getopt-Std|perl-Exporter|perl-parent,15
perl-Errno,perl-libs|perl-Carp|perl-Exporter,3
perl-Exporter,perl-libs|perl-Carp,2
perl-Fcntl,glibc|perl-libs|perl-Exporter,3
perl-File-Basename,perl-libs|perl-Carp|perl-Exporter,3
perl-File-Path,perl-libs|perl-Carp|perl-Exporter|perl-vars|perl-PathTools|perl-File-Basename,6
perl-File-Temp,perl-libs|perl-Carp|perl-constant|perl-Scalar-List-Utils|perl-POSIX|perl-overload|perl-PathTools|perl-IO|perl-Errno|perl-Exporter|perl-parent|perl-File-Path|perl-Fcntl,13
perl-Getopt-Long,perl-libs|perl-Exporter|perl-constant|perl-Getopt-Long|perl-overload|perl-Text-ParseWords|perl-Pod-Usage,7
perl-Getopt-Std,perl-libs|perl-Exporter,2
perl-HTTP-Tiny,perl-libs|perl-Carp|perl-Fcntl|perl-Socket|perl-MIME-Base64|perl-Errno|perl-IO|perl-Time-Local,8
perl-IO,glibc|perl-libs|perl-Carp|perl-Exporter|perl-PathTools|perl-Fcntl|perl-IO|perl-Symbol|perl-Errno|perl-SelectSaver|perl-Socket,11
perl-IPC-Open3,perl-libs|perl-Carp|perl-Exporter|perl-constant|perl-POSIX|perl-Fcntl|perl-Symbol|perl-IPC-Open3|perl-IO,9
perl-MIME-Base64,glibc|perl-libs|perl-Exporter|perl-MIME-Base64,4
perl-NDBM_File,glibc|perl-libs,2
perl-POSIX,glibc|perl-libs|perl-Carp|perl-Exporter|perl-Fcntl|perl-locale,6
perl-PathTools,glibc|perl-libs|perl-Carp|perl-Exporter|perl-constant|perl-PathTools|perl-Scalar-List-Utils|perl-Errno,8
perl-Pod-Escapes,perl-libs|perl-Exporter|perl-vars,3
perl-Pod-Perldoc,perl-libs|perl-Carp|perl-interpreter|perl-vars|perl-File-Basename|perl-Encode|perl-parent|perl-Fcntl|perl-IO|perl-PathTools|perl-Symbol|perl-IPC-Open3|perl-Text-ParseWords|perl-HTTP-Tiny|perl-podlators|groff-base|perl-Pod-Perldoc|perl-Pod-Simple|perl-File-Temp,19
perl-Pod-Simple,perl-libs|perl-Carp|perl-PathTools|perl-Getopt-Long|perl-File-Basename|perl-overload|perl-Encode|perl-Symbol|perl-if|perl-Pod-Simple|perl-Text-Tabs+Wrap|perl-Pod-Escapes,12
perl-Pod-Usage,perl-libs|perl-Carp|perl-interpreter|perl-Exporter|perl-Getopt-Long|perl-Pod-Usage|perl-Pod-Perldoc|perl-PathTools|perl-podlators,9
perl-Scalar-List-Utils,glibc|perl-libs|perl-Exporter|perl-Scalar-List-Utils,4
perl-SelectSaver,perl-libs|perl-Carp|perl-Symbol,3
perl-Socket,glibc|perl-libs|perl-Carp|perl-Exporter,4
perl-Storable,glibc|perl-libs|perl-Carp|perl-Exporter|perl-Fcntl|perl-IO,6
perl-Symbol,perl-libs|perl-Exporter,2
perl-Term-ANSIColor,perl-libs|perl-Exporter,2
perl-Term-Cap,perl-libs|perl-Carp|perl-vars|ncurses,4
perl-Text-ParseWords,perl-libs|perl-Carp|perl-Exporter,3
perl-Text-Tabs+Wrap,perl-libs|perl-Exporter|perl-Text-Tabs+Wrap,3
perl-Time-Local,perl-libs|perl-Carp|perl-Exporter|perl-constant|perl-parent,5
perl-constant,perl-libs|perl-Carp,2
perl-if,perl-libs,1
perl-interpreter,perl-libs|glibc,2
perl-libs,glibc|perl-libs|perl-Carp|perl-Exporter|perl-PathTools|perl-Encode|perl-DynaLoader|libxcrypt,8
perl-locale,perl-libs|perl-Carp|perl-POSIX,3
perl-macros,perl-interpreter,1
perl-mro,glibc|perl-libs,2
perl-overload,perl-libs|perl-Scalar-List-Utils|perl-mro|perl-overloading,4
perl-overloading,perl-libs|perl-Carp,2
perl-parent,perl-libs,1
perl-podlators,perl-libs|perl-Carp|perl-interpreter|perl-Exporter|perl-Getopt-Long|perl-File-Basename|perl-POSIX|perl-Encode|perl-parent|perl-Pod-Usage|perl-Term-ANSIColor|perl-podlators|perl-Term-Cap|perl-PathTools|perl-Pod-Simple,15
perl-vars,perl-libs|perl-Carp,2
pinentry,glibc|bash|ncurses-libs|libgpg-error|libassuan,5
pkgconf,glibc|libpkgconf,2
pkgconf-pkg-config,bash|pkgconf-m4|pkgconf,3
policycoreutils,bash|glibc|filesystem|coreutils|libselinux|util-linux|grep|audit-libs|sed|gawk|diffutils|libsemanage|libsepol,13
popt,glibc,1
popt-devel,pkgconf-pkg-config|popt,2
procps-ng,glibc|filesystem|systemd-libs|ncurses-libs,4
psmisc,glibc|filesystem|ncurses-libs,3
python3,glibc|python3-libs,2
python3-asn1crypto,python3,1
python3-blinker,python3,1
python3-certifi,ca-certificates|python3,2
python3-cffi,glibc|libffi|python3-pycparser|python3,4
python3-charset-normalizer,python3,1
python3-configobj,python3,1
python3-cryptography,glibc|libgcc|openssl-libs|python3|python3-cffi,5
python3-dbus,glibc|python3,2
python3-distro,python3,1
python3-dnf,python3|python3-libdnf|dnf-data|libmodulemd|python3-hawkey|python3-libcomps|python3-rpm,7
python3-gpg,glibc|gpgme|python3,3
python3-hawkey,glibc|libstdc++|libgcc|python3-libs|libsolv|libdnf|python3|python3-libdnf,8
python3-idna,python3,1
python3-jinja2,python3|python3-markupsafe,2
python3-jsonpatch,python3|python3-jsonpointer,2
python3-jsonpointer,python3,1
python3-jsonschema,python3,1
python3-jwt,python3,1
python3-libcomps,glibc|python3-libs|libcomps|python3,4
python3-libdnf,glibc|libstdc++|libgcc|python3-libs|libdnf|python3,6
python3-libs,glibc|bash|openssl-libs|sqlite-libs|libzstd|ncurses-libs|readline|expat|xz-libs|bzip2-libs|libffi|tzdata,12
python3-markupsafe,glibc|python3,2
python3-netifaces,glibc|python3,2
python3-oauthlib,python3,1
python3-packaging,python3,1
python3-prettytable,python3-wcwidth|python3,2
python3-pyOpenSSL,python3|python3-cryptography,2
python3-pyasn1,python3,1
python3-pycparser,python3,1
python3-pyparsing,python3,1
python3-pyyaml,glibc|libyaml|python3,3
python3-requests,python3|python3-charset-normalizer|python3-idna|python3-urllib3,4
python3-rpm,glibc|rpm-libs|rpm-build-libs|python3,4
python3-setuptools,python3,1
python3-six,python3,1
python3-urllib3,ca-certificates|python3-idna|python3,3
python3-wcwidth,python3,1
readline,glibc|ncurses-libs,2
rpm,bash|glibc|coreutils|popt|libarchive|rpm-libs|curl,7
rpm-build-libs,glibc|libstdc++|libgcc|libgomp|libcap|popt|rpm-libs|elfutils-libelf|lua-libs|file-libs,10
rpm-devel,glibc|pkgconf-pkg-config|popt|rpm-libs|rpm-build-libs|popt-devel|rpm,7
rpm-libs,glibc|libstdc++|libgcc|sqlite-libs|libzstd|xz-libs|bzip2-libs|libcap|popt|libacl|lua-libs|rpm,12
rsync,glibc|bash|openssl-libs|libzstd|popt|libacl,6
rsyslog,bash|glibc|libgcc|filesystem|libcurl|systemd-libs|libcap-ng|libfastjson|libestr,9
sed,glibc|libselinux|libacl,3
selinux-policy-targeted,bash|coreutils|policycoreutils,3
shadow-utils,glibc|filesystem|libxcrypt|libselinux|libacl|audit-libs|libsemanage,7
shadow-utils-subid,glibc|libxcrypt|libselinux|libacl|audit-libs|libattr|libsemanage,7
slang,glibc,1
sqlite-libs,glibc,1
strace,glibc|bash|libselinux,3
sudo,glibc|openssl-libs|filesystem|libselinux|openldap|audit-libs|pam,7
systemd,bash|coreutils|grep|openssl-libs|glibc|libgcc|filesystem|libselinux|libseccomp|libcap|libacl|audit-libs|systemd-libs|systemd-rpm-macros|dbus|libbpf|util-linux|systemd-pam,18
systemd-libs,glibc|libgcc|libcap,3
systemd-networkd,bash|glibc|libgcc|systemd,4
systemd-pam,glibc|libgcc|libcap|systemd,4
systemd-resolved,bash|grep|glibc|libgcc|openssl-libs|filesystem|libidn2|systemd,8
systemd-udev,bash|grep|systemd|glibc|libgcc|openssl-libs|filesystem|libselinux|cryptsetup-libs|kbd|grubby|kmod,12
tar,glibc|libselinux|libacl,3
tini,glibc,1
tmux,bash|glibc|systemd-libs|ncurses-libs|libevent,5
tpm2-tss,glibc|openssl-libs|json-c,3
unzip,glibc|bash|bzip2-libs,3
userspace-rcu,glibc,1
util-linux,bash|coreutils|glibc|libgcc|filesystem|systemd-libs|ncurses-libs|readline|libselinux|audit-libs|libcap-ng|pam,12
which,glibc|coreutils,2
wireless-regdb,bash|filesystem|systemd-udev|iw|systemd,5
xfsprogs,glibc|bash|filesystem|libedit|userspace-rcu,5
xz,glibc|bash|xz-libs|grep,4
xz-libs,glibc,1
zchunk,glibc|python3|libcurl|zchunk-libs,4
zchunk-libs,glibc|openssl-libs|libzstd,3
zstd,glibc|libgcc|libstdc++|bash|xz-libs,5
