package,dependency
which,coreutils
which,glibc
audit,
audit-libs,glibc
audit-libs,"libcap-ng"
cyrus-sasl-lib,filesystem
cyrus-sasl-lib,gdbm-libs
cyrus-sasl-lib,glibc
cyrus-sasl-lib,libxcrypt
"gnutls",crypto-policies
"gnutls",glibc
"gnutls",gmp
"gnutls","libidn2"
"gnutls","libtasn1"
"gnutls","libunistring"
"gnutls","nettle"
"gnutls",p11-kit
"gnutls",p11-kit-trust
gpgme,glibc
gpgme,"gnupg2"
gpgme,"libassuan"
gpgme,libgpg-error
libacl,glibc
libacl,libattr
libattr,glibc
libgcrypt,glibc
libgcrypt,libgpg-error
libgpg-error,glibc
"libselinux",glibc
"libselinux",libsepol
"libselinux",pcre2
"openssh",audit-libs
"openssh",glibc
"openssh","libselinux"
"openssh","openssl-libs"
"openssh","util-linux"
"openssh-clients",bash
"openssh-clients",crypto-policies
"openssh-clients",glibc
"openssh-clients",krb5-libs
"openssh-clients",libedit
"openssh-clients",libfido2
"openssh-clients","libselinux"
"openssh-clients","openssh"
"openssh-clients","openssl-libs"
"openssh-clients","zlib-ng-compat"
"openssh-server",
"openssl",coreutils
"openssl",glibc
"openssl","openssl-libs"
"openssl-libs",ca-certificates
"openssl-libs",crypto-policies
"openssl-libs",glibc
"openssl-libs","zlib-ng-compat"
policycoreutils,audit-libs
policycoreutils,bash
policycoreutils,coreutils
policycoreutils,diffutils
policycoreutils,filesystem
policycoreutils,gawk
policycoreutils,glibc
policycoreutils,grep
policycoreutils,"libselinux"
policycoreutils,"libselinux-utils"
policycoreutils,"libsemanage"
policycoreutils,libsepol
policycoreutils,sed
policycoreutils,"util-linux"
"selinux-policy-targeted",bash
"selinux-policy-targeted",coreutils
"selinux-policy-targeted",policycoreutils
"selinux-policy-targeted","selinux-policy"
sudo,audit-libs
sudo,filesystem
sudo,glibc
sudo,"libselinux"
sudo,"openldap"
sudo,"openssl-libs"
sudo,pam
sudo,pam-libs
sudo,"zlib-ng-compat"
"WALinuxAgent",
azure-vm-utils,
"cloud-init",
cloud-utils-growpart,
"hyperv-daemons",
"hyperv-daemons-license",
hypervfcopyd,
hypervkvpd,
hypervvssd,
dracut,bash
dracut,coreutils
dracut,cpio
dracut,filesystem
dracut,"findutils"
dracut,glibc
dracut,grep
dracut,kmod
dracut,kmod-libs
dracut,libgcc
dracut,libkcapi-hmaccalc
dracut,"openssl-libs"
dracut,"procps-ng"
dracut,sed
dracut,systemd
dracut,systemd-udev
dracut,"util-linux"
dracut,xz
dracut,zstd
dracut-kiwi-oem-repart,
"grub2-tools-minimal",bash
"grub2-tools-minimal",device-mapper-libs
"grub2-tools-minimal",filesystem
"grub2-tools-minimal",fuse3-libs
"grub2-tools-minimal","gettext-runtime"
"grub2-tools-minimal",glibc
"grub2-tools-minimal","grub2-common"
"grub2-tools-minimal",xz-libs
grubby,
"kernel",
"kernel-modules",
kmod,filesystem
kmod,glibc
kmod,libgcc
kmod,libzstd
kmod,"openssl-libs"
kmod,"pkgconf-pkg-config"
kmod,xz-libs
kmod,"zlib-ng-compat"
grub2,
"dnf",
"dnf-data","libdnf5"
"dnf-plugins-core","python3-dnf-plugins-core"
"libdnf",glib2
"libdnf",glibc
"libdnf","json-c"
"libdnf",libgcc
"libdnf",libmodulemd
"libdnf",librepo
"libdnf",libsmartcols
"libdnf",libsolv
"libdnf",libstdc++
"libdnf",rpm-libs
"libdnf",sqlite-libs
rpm,bash
rpm,coreutils
rpm,curl
rpm,glibc
rpm,libarchive
rpm,popt
rpm,rpm-libs
rpm-build-libs,elfutils-libelf
rpm-build-libs,elfutils-libs
rpm-build-libs,file-libs
rpm-build-libs,glibc
rpm-build-libs,libcap
rpm-build-libs,libgcc
rpm-build-libs,libgomp
rpm-build-libs,libstdc++
rpm-build-libs,lua-libs
rpm-build-libs,popt
rpm-build-libs,rpm-libs
rpm-build-libs,"rpm-sign-libs"
rpm-libs,bzip2-libs
rpm-libs,glibc
rpm-libs,libacl
rpm-libs,libcap
rpm-libs,libgcc
rpm-libs,libstdc++
rpm-libs,libzstd
rpm-libs,lua-libs
rpm-libs,popt
rpm-libs,rpm
rpm-libs,rpm-sequoia
rpm-libs,sqlite-libs
rpm-libs,"systemd-standalone-sysusers"
rpm-libs,xz-libs
rpm-libs,"zlib-ng-compat"
curl,bash
curl,glibc
curl,libcurl
dhcpcd,
iproute,elfutils-libelf
iproute,filesystem
iproute,glibc
iproute,libbpf
iproute,libcap
iproute,"libmnl"
iproute,"libselinux"
iproute,psmisc
iputils,filesystem
iputils,glibc
iputils,libcap
iputils,"libidn2"
"systemd-networkd",bash
"systemd-networkd",glibc
"systemd-networkd",libgcc
"systemd-networkd",systemd
"systemd-networkd",systemd-shared
iptables,
bzip2-libs,glibc
gzip,bash
gzip,coreutils
gzip,glibc
tar,glibc
tar,libacl
tar,"libselinux"
xz,bash
xz,glibc
xz,grep
xz,xz-libs
xz-libs,glibc
zstd,bash
zstd,glibc
zstd,libgcc
zstd,libstdc++
zstd,lz4-libs
zstd,xz-libs
zstd,"zlib-ng-compat"
e2fsprogs,e2fsprogs-libs
e2fsprogs,filesystem
e2fsprogs,fuse3-libs
e2fsprogs,glibc
e2fsprogs,libblkid
e2fsprogs,libcom_err
e2fsprogs,libss
e2fsprogs,libuuid
e2fsprogs-libs,glibc
e2fsprogs-libs,libcom_err
lvm2,bash
lvm2,"device-mapper-event-libs"
lvm2,"device-mapper-persistent-data"
lvm2,filesystem
lvm2,glibc
lvm2,kmod
lvm2,libaio
lvm2,libblkid
lvm2,libedit
lvm2,"libselinux"
lvm2,lvm2-libs
lvm2,systemd
lvm2,systemd-libs
parted,device-mapper-libs
parted,filesystem
parted,glibc
parted,libblkid
parted,libuuid
parted,"ncurses-libs"
parted,"readline"
xfsprogs,bash
xfsprogs,filesystem
xfsprogs,glibc
xfsprogs,"inih"
xfsprogs,libblkid
xfsprogs,libedit
xfsprogs,libuuid
xfsprogs,userspace-rcu
cryptsetup,cryptsetup-libs
cryptsetup,filesystem
cryptsetup,glibc
cryptsetup,libblkid
cryptsetup,libpwquality
cryptsetup,libuuid
cryptsetup,popt
dbus,
device-mapper,bash
device-mapper,device-mapper-libs
device-mapper,filesystem
device-mapper,glibc
device-mapper,systemd
device-mapper,"util-linux-core"
"device-mapper-event",bash
"device-mapper-event",device-mapper
"device-mapper-event","device-mapper-event-libs"
"device-mapper-event",device-mapper-libs
"device-mapper-event",filesystem
"device-mapper-event",glibc
"device-mapper-event",libgcc
"device-mapper-event",systemd
"device-mapper-event-libs",device-mapper-libs
"device-mapper-event-libs",glibc
device-mapper-libs,device-mapper
device-mapper-libs,glibc
device-mapper-libs,"libselinux"
device-mapper-libs,systemd-libs
pciutils-libs,glibc
systemd-udev,bash
systemd-udev,cryptsetup-libs
systemd-udev,filesystem
systemd-udev,glibc
systemd-udev,grep
systemd-udev,kbd
systemd-udev,kmod
systemd-udev,kmod-libs
systemd-udev,libacl
systemd-udev,libblkid
systemd-udev,libfdisk
systemd-udev,libgcc
systemd-udev,"libselinux"
systemd-udev,"openssl-libs"
systemd-udev,systemd
systemd-udev,systemd-shared
"python3",glibc
"python3","python3-libs"
"python3-charset-normalizer","python3"
"python3-configobj",
"python3-dbus",dbus-libs
"python3-dbus",glib2
"python3-dbus",glibc
"python3-dbus","python3"
"python3-distro","python3"
"python3-dnf","dnf-data"
"python3-dnf",libmodulemd
"python3-dnf","python3"
"python3-dnf","python3-hawkey"
"python3-dnf","python3-libcomps"
"python3-dnf","python3-libdnf"
"python3-dnf","python3-rpm"
"python3-hawkey",glib2
"python3-hawkey",glibc
"python3-hawkey","libdnf"
"python3-hawkey",libgcc
"python3-hawkey",libsolv
"python3-hawkey",libstdc++
"python3-hawkey","python3"
"python3-hawkey","python3-libdnf"
"python3-hawkey","python3-libs"
"python3-idna","python3"
"python3-jinja2","python3"
"python3-jinja2","python3-markupsafe"
"python3-jsonpatch",
"python3-jsonpointer",
"python3-jsonschema",
"python3-libcomps",glibc
"python3-libcomps",libcomps
"python3-libcomps","python3"
"python3-libcomps","python3-libs"
"python3-libcomps","zlib-ng-compat"
"python3-libdnf",glibc
"python3-libdnf","libdnf"
"python3-libdnf",libgcc
"python3-libdnf",libsmartcols
"python3-libdnf",libstdc++
"python3-libdnf","python3"
"python3-libdnf","python3-libs"
"python3-libs",bash
"python3-libs",bzip2-libs
"python3-libs",expat
"python3-libs",gdbm-libs
"python3-libs",glibc
"python3-libs",libffi
"python3-libs",libuuid
"python3-libs",libzstd
"python3-libs",mpdecimal
"python3-libs","ncurses-libs"
"python3-libs","openssl-libs"
"python3-libs","python-pip-wheel"
"python3-libs","readline"
"python3-libs",sqlite-libs
"python3-libs",tzdata
"python3-libs",xz-libs
"python3-libs","zlib-ng-compat"
"python3-markupsafe",glibc
"python3-markupsafe","python3"
"python3-oauthlib","python3"
"python3-requests","python3"
"python3-rpm",glibc
"python3-rpm","python3"
"python3-rpm",rpm-build-libs
"python3-rpm",rpm-libs
"python3-rpm","rpm-sign-libs"
"python3-setuptools","python3"
"python3-six","python3"
"python3-urllib3",ca-certificates
"python3-urllib3","python3"
"python3-urllib3","python3-idna"
