package,dependency
"azurelinux-repos",
basesystem,
bash,filesystem
bash,glibc
bash,"ncurses-libs"
"bash-completion",bash
coreutils,"coreutils-common"
coreutils,filesystem
coreutils,glibc
coreutils,gmp
coreutils,libacl
coreutils,libattr
coreutils,libcap
coreutils,"libselinux"
coreutils,"openssl-libs"
coreutils,systemd-libs
cpio,glibc
filesystem,setup
"findutils",glibc
"findutils","libselinux"
glibc,filesystem
glibc,"glibc-all-langpacks"
glibc,"glibc-common"
glibc,libgcc
"glibc-langpack-en",glibc
"glibc-langpack-en","glibc-common"
"ncurses",glibc
"ncurses","ncurses-libs"
"ncurses-base",
"ncurses-libs",glibc
"ncurses-libs","ncurses-base"
pam,audit-libs
pam,authselect
pam,bash
pam,filesystem
pam,gdbm
pam,gdbm-libs
pam,glibc
pam,"libeconf"
pam,"libnsl2"
pam,libpwquality
pam,"libselinux"
pam,libtirpc
pam,libxcrypt
pam,"openssl-libs"
pam,pam-libs
pam,setup
"readline",glibc
"readline","ncurses-libs"
sed,glibc
sed,libacl
sed,"libselinux"
shadow-utils,audit-libs
shadow-utils,filesystem
shadow-utils,glibc
shadow-utils,libacl
shadow-utils,"libeconf"
shadow-utils,"libselinux"
shadow-utils,"libsemanage"
shadow-utils,libxcrypt
shadow-utils,pam-libs
shadow-utils,setup
shadow-utils-subid,audit-libs
shadow-utils-subid,glibc
shadow-utils-subid,libacl
shadow-utils-subid,libattr
shadow-utils-subid,"libeconf"
shadow-utils-subid,"libselinux"
shadow-utils-subid,"libsemanage"
shadow-utils-subid,libxcrypt
shadow-utils-subid,pam-libs
system-release,
systemd,audit-libs
systemd,bash
systemd,coreutils
systemd,dbus
systemd,filesystem
systemd,glibc
systemd,grep
systemd,libacl
systemd,libblkid
systemd,libcap
systemd,libfdisk
systemd,libgcc
systemd,"libmount"
systemd,libseccomp
systemd,"libselinux"
systemd,"openssl-libs"
systemd,pam-libs
systemd,systemd-libs
systemd,systemd-pam
systemd,systemd-shared
systemd,"systemd-standalone-sysusers"
systemd,"util-linux"
systemd-libs,glibc
systemd-libs,libcap
systemd-libs,libgcc
"util-linux",audit-libs
"util-linux",authselect-libs
"util-linux",bash
"util-linux",coreutils
"util-linux",filesystem
"util-linux",glibc
"util-linux",libblkid
"util-linux","libcap-ng"
"util-linux",libfdisk
"util-linux",libgcc
"util-linux",liblastlog2
"util-linux","libmount"
"util-linux","libselinux"
"util-linux",libsmartcols
"util-linux",libuuid
"util-linux","ncurses-libs"
"util-linux",pam-libs
"util-linux","readline"
"util-linux",systemd-libs
"util-linux","util-linux-core"
"util-linux","zlib-ng-compat"
