package,direct_dependencies,dep_count_all
"azurelinux-repos",,0
bash,"filesystem|glibc|ncurses-libs",16
"bash-completion",bash,16
coreutils,"coreutils-common|filesystem|glibc|gmp|libacl|libattr|libcap|libselinux|openssl-libs|systemd-libs",44
cpio,glibc,16
"findutils","glibc|libselinux",20
glibc,"filesystem|glibc-common|glibc-langpack-en|glibc-minimal-langpack|libgcc",16
"glibc-langpack-en","glibc|glibc-common",16
"ncurses","glibc|ncurses-libs",16
"ncurses-base",,0
"ncurses-libs","glibc|ncurses-base",16
pam,"audit-libs|authselect|bash|filesystem|gdbm|gdbm-libs|glibc|libeconf|libnsl2|libpwquality|libselinux|libtirpc|libxcrypt|openssl-libs|pam-libs|setup",60
"readline","glibc|ncurses-libs",16
sed,"glibc|libacl|libselinux",22
shadow-utils,"audit-libs|filesystem|glibc|libacl|libeconf|libselinux|libsemanage|libxcrypt|pam-libs|setup",29
shadow-utils-subid,"audit-libs|glibc|libacl|libattr|libeconf|libselinux|libsemanage|libxcrypt|pam-libs",29
systemd,"audit-libs|bash|coreutils|dbus|filesystem|glibc|grep|libacl|libblkid|libcap|libfdisk|libgcc|libmount|libseccomp|libselinux|openssl-libs|pam-libs|systemd-libs|systemd-pam|systemd-shared|systemd-standalone-sysusers|util-linux|util-linux-core",62
systemd-libs,glibc|libcap|libgcc,21
"util-linux","audit-libs|authselect-libs|bash|coreutils|filesystem|glibc|libblkid|libcap-ng|libfdisk|libgcc|liblastlog2|libmount|libselinux|libsmartcols|libuuid|ncurses-libs|pam-libs|readline|systemd-libs|util-linux-core|zlib-ng-compat",55
which,coreutils|glibc,44
audit,audit-libs|audit-rules|bash|coreutils|filesystem|glibc|krb5-libs|systemd,67
audit-libs,"glibc|libcap-ng",17
cyrus-sasl-lib,filesystem|gdbm-libs|glibc|libxcrypt,18
"gnutls","crypto-policies|glibc|gmp|libidn2|libtasn1|libunistring|nettle|p11-kit|p11-kit-trust",26
gpgme,"glibc|gnupg2|libassuan|libgpg-error",72
libacl,glibc|libattr,17
libattr,glibc,16
libgcrypt,glibc|libgpg-error,17
libgpg-error,glibc,16
"libselinux",glibc|libsepol|pcre2,19
"openssh","audit-libs|glibc|libselinux|openssl-libs|util-linux",56
"openssh-clients","bash|crypto-policies|glibc|krb5-libs|libedit|libfido2|libselinux|openssh|openssl-libs|zlib-ng-compat",64
